tweet_text,user_id,hashtags,time,url
#climate change,1637967247212789761,climate,2023-03-20 23:59:58 +0000 +0000,https://twitter.com/8r4mvdk/status/1637967247212789761
LEAKED VIDEO: CNN Director ADMITS Climate Change The Next 'Pandemic Like... https://t.co/ye1JjyccWs via @YouTube,1637967226778132481,,2023-03-20 23:59:53 +0000 +0000,https://twitter.com/Deb89403453/status/1637967226778132481
@growingwisdom 150 years of data on a 4+ billion year timeline.  No real adjustment during the industrial age.  No downturn after the pollution controls after the 1970’s.  I need a deeper explanation but I am not buying that humans cause climate change just yet.,1637967195069087745,,2023-03-20 23:59:45 +0000 +0000,https://twitter.com/mohdux2/status/1637967195069087745
@ChaseMit Climate change doesn’t care about anyone’s feelings.,1637967183673188352,,2023-03-20 23:59:43 +0000 +0000,https://twitter.com/Tzipshmil/status/1637967183673188352
"it better be Coco Jones 👀

i’ve been manifesting this film, idk how long NOLA has before climate change starts eating at the coast even more than it already has 😭😭",1637967153478668288,,2023-03-20 23:59:36 +0000 +0000,https://twitter.com/gothvaquera/status/1637967153478668288
@nytimes Well nothing has happened yet in the last 20-40 years in which climate change could’ve been averted,1637967153235099648,,2023-03-20 23:59:35 +0000 +0000,https://twitter.com/LexAnderson_WS/status/1637967153235099648
"#ClimateChange #Vision2030 #Binnenland #SchleswigHolstein/@metroregionHH #Hamburg         #EU #klimaneutrale #Gesundheitsregion/#Kommunen,#Dorf #Kommune 1 #Quartiersentwicklung 1.000 #Apartments an #NeuGründung #Erholungspark/#Gesundheitsresort #Arbeitsplätze 880 @BMWK🇩🇪@IPCC_CH https://t.co/L0YDA6MiAL",1637967143277821953,"ClimateChange,Vision2030,Binnenland,SchleswigHolstein,Hamburg,EU,klimaneutrale,Gesundheitsregion,Kommunen,Dorf,Kommune,Quartiersentwicklung,Apartments,NeuGründung,Erholungspark,Gesundheitsresort,Arbeitsplätze",2023-03-20 23:59:33 +0000 +0000,https://twitter.com/med7sportarten/status/1637967143277821953
"@FoxNews I DON'T GIVE 2 SHITS ABOUT CLIMATE CHANGE, I'LL BELIEVE IT WHEN I DON'T SEE SNOW FALLING EVER AGAIN",1637967136734715905,,2023-03-20 23:59:32 +0000 +0000,https://twitter.com/JOSEDIA22838497/status/1637967136734715905
@POTUS what does my retirement savings have to do with climate change?,1637967133190639616,,2023-03-20 23:59:31 +0000 +0000,https://twitter.com/HeidelRosemarie/status/1637967133190639616
How to Fight Climate Change for a Bargain https://t.co/cZNhdMEVcY,1637967087439077376,,2023-03-20 23:59:20 +0000 +0000,https://twitter.com/urbnfabric/status/1637967087439077376
"Corporate media always finds a way to blame any problem in society on Elon Musk, Donald Trump, Climate Change or White Supremacy.

Don’t ask me how, those are just the rules.",1637967075988631553,,2023-03-20 23:59:17 +0000 +0000,https://twitter.com/alx/status/1637967075988631553
"@jasonhickel Ah, sorry, suddenly realised your agenda has nothing to do with climate change.

Got it now.",1637967064043343873,,2023-03-20 23:59:14 +0000 +0000,https://twitter.com/IgnatiousArthur/status/1637967064043343873
"@MikeHudema Mike, in your personal life what have you done to help the planet from 
1. Ice age 
2. Global warming 
3. Climate change",1637967057860935680,,2023-03-20 23:59:13 +0000 +0000,https://twitter.com/surpat2525/status/1637967057860935680
"Unless we all do our part to stop climate change the glacier in my backyard will melt by June. 

We are on the precipice of an irreversible climate catastrophe. We have more work to do.",1637967050135011330,,2023-03-20 23:59:11 +0000 +0000,https://twitter.com/tsn_says/status/1637967050135011330
"@peartonjohnson @Bababooie42 This is only the very beginning of climate change.
It will be much worse in 50 years.",1637966984095891457,,2023-03-20 23:58:55 +0000 +0000,https://twitter.com/Robertof49/status/1637966984095891457
@FoxNews Humanity is on thin ice but it is not because of climate change.,1637966976881418242,,2023-03-20 23:58:53 +0000 +0000,https://twitter.com/Yodoglover/status/1637966976881418242
"@SenRickScott You are literally burying Florida!
Failing infrastructure,buildings collapse
climate change issues.
Insurance companies fleeing Florida. attacking Mickey Mouse,burning books, not expanding Medicaid coverage via ACA… 
You stole rom Medicare.
You stole from RNC.
You are a GOPPOS! https://t.co/0jnGrR7Qx4",1637966973727285250,,2023-03-20 23:58:53 +0000 +0000,https://twitter.com/nevbavAlt/status/1637966973727285250
"@RepJimmyGomez Why are you scared lil' Jimmy? You do understand that the constitution gives every American the right to question government correct? What you may consider a ""Conspiracy"" may be fact. Climate Change is a conspiracy theory or are you 110% it's fact and why? Because somebody told…",1637966967465459712,,2023-03-20 23:58:51 +0000 +0000,https://twitter.com/Cartel_Cal/status/1637966967465459712
@prageru In order to end climate change we must end capitalism,1637966964164526080,,2023-03-20 23:58:50 +0000 +0000,https://twitter.com/DirtMcGirt42/status/1637966964164526080
"@me_mccarron @AssaadRazzouk Our greatest climate hazard is winter, a much larger hazard and threat than climate change.  If that is not acknowledged, respected and understood, then we will have little time for the virtue signallers.",1637966860703653889,,2023-03-20 23:58:26 +0000 +0000,https://twitter.com/ZylstraJohn/status/1637966860703653889
"@SpencerFernando He's woke loves freedom with conditions, Testing with a test that doesn't work to work to enter to live no thanks.
CRT he agrees with it, too late to come out now but it won't surprise me, he's been late to say anything the last 3 plus years.
Climate change ! get lost wokester",1637966835390853121,,2023-03-20 23:58:20 +0000 +0000,https://twitter.com/Iamlithow/status/1637966835390853121
"@mullally_elaine @mullally_elaine 🌍😂 You're right, Elaine! So many have seen through the climate change con! 💸🚫 As we said earlier, ""😂🌍 1000 years?! C'mon, IPCC! 🌡️ They can't even predict tomorrow's weather accurately! 🌦️🤷‍♂️"" People are waking up to the hypocrisy and lies! 🙌👀…",1637966793904979968,,2023-03-20 23:58:10 +0000 +0000,https://twitter.com/simonpgold/status/1637966793904979968
"#ClimateChange is here! We must take #ClimateActionNow in order to soften the severity for us and our kids! 
Scientists deliver ‘final warning’ on climate crisis: act now or it’s too late | Climate crisis | The Guardian https://t.co/M9YESKeaE2",1637966792055463939,"ClimateChange,ClimateActionNow",2023-03-20 23:58:09 +0000 +0000,https://twitter.com/GreenKraut/status/1637966792055463939
@VickiPlatt5 @annaclarity1 Imagine where we would be if the Greens and the Liberal Party and national Party didn't treat Climate change as their personal little fiefdom? Don't be fooled by the Greens Vicki.,1637966785306820611,,2023-03-20 23:58:08 +0000 +0000,https://twitter.com/vogrady2132/status/1637966785306820611
"@DrViolisto @SherryH33348957 @EdKrassen @SherryH33348957 I'm sure the Lord has bigger things to worry about than President T's indictment. Maybe world peace, hunger, or climate change? Just a thought.",1637966784719642624,,2023-03-20 23:58:08 +0000 +0000,https://twitter.com/ReplyGPT/status/1637966784719642624
Then there's this. So many aspects of climate change that need awareness and action. The media and government are failing us.,1637966775299067910,,2023-03-20 23:58:05 +0000 +0000,https://twitter.com/Jmack3065/status/1637966775299067910
The Intergovernmental Panel on Climate Change @IPCC_CH just released its latest #ClimateReport on the need for an urgent phase out of #FossilFuels to stay below 1.5 degrees of warming. Only bold actions will get us there. https://t.co/6XDRisnkT8,1637966773818408965,"ClimateReport,FossilFuels",2023-03-20 23:58:05 +0000 +0000,https://twitter.com/RAN/status/1637966773818408965
Hmmm.   Must be climate change.,1637966748640063490,,2023-03-20 23:57:59 +0000 +0000,https://twitter.com/Johnmc42069/status/1637966748640063490
"@Reilly2020 @Kyle_Beckley @nytimes Climate change is real, and very definitely affected by human activity. This argument, however, is really really ignorant. Think about how many celebrities and politicians, who spend a lot of time talking about climate change, have beachside properties, and then get back to me.",1637966737210482689,,2023-03-20 23:57:56 +0000 +0000,https://twitter.com/martymalt/status/1637966737210482689
@GovRonDeSantis climate change is going to swallow some of your coastline. why put your head in the sand,1637966729480646663,,2023-03-20 23:57:54 +0000 +0000,https://twitter.com/DudeAsInCool/status/1637966729480646663
"@CarolineLucas @RishiSunak The only technology that will deliver fewer emissions is nuclear, but you won't support it. Instead you push for a drastic reduction in energy use which is, in practice, a reduction in health, wealth, living standards &amp; population. Democide is not a solution to climate change.",1637966711474274304,,2023-03-20 23:57:50 +0000 +0000,https://twitter.com/B263543/status/1637966711474274304
"@Extropian85 @FoxNews Why do you not like cars? Some of us need them to even commute, and if you know the Utah Transit Authority, there really isn't another option. But yeah, politicians, wealthy elite, UN officials, all speak climate change but then do this and let China burn coal for power.",1637966704474214400,,2023-03-20 23:57:48 +0000 +0000,https://twitter.com/CNCharger/status/1637966704474214400
"'It can be done. It must be done': IPCC delivers definitive report on climate change, and where to now https://t.co/qjXB2zAUvK via @ConversationEDU Are you morons going to start doing more and forget about your political donations from multinationals? @tanya_plibersek @Bowenchris",1637966701341081600,,2023-03-20 23:57:48 +0000 +0000,https://twitter.com/Mrmgio/status/1637966701341081600
"World is on brink of catastrophic warming, U.N. climate-change report says - The Washington Post https://t.co/fDFjSINspX",1637966689429245952,,2023-03-20 23:57:45 +0000 +0000,https://twitter.com/DanMcHu15356401/status/1637966689429245952
@catturd2 If they would stop spraying chemicals in the sky and manipulating the weather they wouldn't have to worry about about the so called climate change.,1637966672966426625,,2023-03-20 23:57:41 +0000 +0000,https://twitter.com/Marg53526390/status/1637966672966426625
"Report: Nearly Half of ‘Climate Change‘ Companies in U.S. Banked with Failed SVB https://t.co/7VvBoTwfmU via @BreitbartNews 

And we know why the Biden Administration rushed to save SVB!",1637966666255704065,,2023-03-20 23:57:39 +0000 +0000,https://twitter.com/KonaMongoose808/status/1637966666255704065
"————————————————

Line drawn. 

Believe what you want about climate change. CBDC. Covid and the great wealth transfer. 

I’ve said my bit. I’m done on all that. 

I didn’t get to where I am today by simply guessing at the future. 

Your on your own now.",1637966660341739521,,2023-03-20 23:57:38 +0000 +0000,https://twitter.com/steveruffley/status/1637966660341739521
@mehdirhasan @11thHour @MSNBC Hope you will talk about climate change and the latest IPCC report. 🙏😊🌎,1637966652859113474,,2023-03-20 23:57:36 +0000 +0000,https://twitter.com/leahstokes/status/1637966652859113474
"@s_guilbeault @liberal_party @IPCC_CH Funny this CLIMATOLOGIST DR. JUDITH CURRY, TESTIFIES THAT THE MAN-MADE THEORY OF CLIMATE CHANGE IS A HOAX who's lying? https://t.co/ob7BobyKD0
https://t.co/hOPr6SB1wy https://t.co/1em3bNHY3H",1637966639390916608,,2023-03-20 23:57:33 +0000 +0000,https://twitter.com/chocolatefireg2/status/1637966639390916608
@WallStreetSilv He's mistaken.  Credit Suisse went down because of climate change.,1637966628162813957,,2023-03-20 23:57:30 +0000 +0000,https://twitter.com/PepeUnlimited/status/1637966628162813957
"UN secretary general warns 'humanity is on thin ice' following climate change report: Fox News https://t.co/5gUw82KCvs 

MORE w/ EcoSearch: https://t.co/CrJmJbzMIz",1637966583846019073,,2023-03-20 23:57:20 +0000 +0000,https://twitter.com/ecobearwitness/status/1637966583846019073
"@ttvDna__perfect @PaulEremenko “It’s definitely not a solution by itself to addressing current climate change. To do that, we need to reduce human emissions of greenhouse gases. But it could still have some partial impact on our ability to reduce climate change.""

Your article states it can help, but not solve",1637966572722462722,,2023-03-20 23:57:17 +0000 +0000,https://twitter.com/razorirr/status/1637966572722462722
@MikeHudema There is no climate change. https://t.co/W7O3hR0k18,1637966569006415873,,2023-03-20 23:57:16 +0000 +0000,https://twitter.com/Bella47411/status/1637966569006415873
"The time to adopt climate change mitigation measures is running out, according to the latest @IPCC_CH report. The panel of experts estimates that the earth will reach a critical threshold within the next decade if we do not act. Learn more: https://t.co/k2iGONnFIn @sabmc",1637966566900785153,,2023-03-20 23:57:16 +0000 +0000,https://twitter.com/tamirratalks/status/1637966566900785153
"@AlboMP Anthony instead of the $368 billion going to the Stop US Bankruptcy Fund, put it to better use, of saving us all from Climate Change.",1637966504145870848,,2023-03-20 23:57:01 +0000 +0000,https://twitter.com/FarrowPorcher/status/1637966504145870848
@ClimateDad77 There is a 100% chance of anything we do doing nothing to stop climate change and is just a giant waste of resources and destroy our own economies. Because only 10% of the planet even cares. The rest sont give a fuuuuuck. They have bigger worries.,1637966493152342019,,2023-03-20 23:56:58 +0000 +0000,https://twitter.com/Thorshared/status/1637966493152342019
"@newscomauHQ In the 80’s it was the next ice age is coming, that didn’t work so the climate cult changed the narrative to global warming. Climate change is just propaganda for western countries, can’t be that serious if China an India are still building coal power plants. 🤥🥴",1637966491088986112,,2023-03-20 23:56:58 +0000 +0000,https://twitter.com/woketard6969/status/1637966491088986112
@AlboMP COVID is NOT OVER. CLIMATE CHANGE is NOT OVER. Renewables are good - but a drop in the (rising) ocean. Do more. Do better.,1637966387447726080,,2023-03-20 23:56:33 +0000 +0000,https://twitter.com/LillyHa48576811/status/1637966387447726080
"""The world is up the proverbial creek - but we still have a paddle. Climate change is worsening, but we have the means to act."" writes @ProfMarkHowden &amp; @frankjotzo for @ConversationEDU on the release of the @IPCC_CH Synthesis Report. 

Read more➡️https://t.co/JXhhMyczzf https://t.co/VwSaNifQo0",1637966381957410816,,2023-03-20 23:56:32 +0000 +0000,https://twitter.com/ANU_ICEDS/status/1637966381957410816
"World is on brink of catastrophic warming, U.N. climate change report says - The Washington Post https://t.co/moIBB2TQ19",1637966366752796674,,2023-03-20 23:56:28 +0000 +0000,https://twitter.com/BettyGeller9/status/1637966366752796674
Amen sister.  I am not a weather expert like AOC or Greta but I believe you have discovered the very elusive “Climate Change Control Knob.”  Thank you. https://t.co/DXuqDpdoc0,1637966357001117699,,2023-03-20 23:56:26 +0000 +0000,https://twitter.com/ButkovichPete/status/1637966357001117699
Blink Announces USPS Contract; Releases New Mobile EV Charger https://t.co/Ux8JFcmACX #ElectricVehicles #Tesla #EV #Renewables #ClimateChange #RenewableEnergy,1637966353297547264,"ElectricVehicles,Tesla,EV,Renewables,ClimateChange,RenewableEnergy",2023-03-20 23:56:25 +0000 +0000,https://twitter.com/Zxcxz_xyz/status/1637966353297547264
@stillgray Biden MUST support climate change,1637966306451378176,,2023-03-20 23:56:14 +0000 +0000,https://twitter.com/surpat2525/status/1637966306451378176
"@abcnews These journalists say as they regularly order things online, own the latest phones, use cars and ubers regularly and live a comfy life of conveniences that contribute to ""climate change""",1637966264726618114,,2023-03-20 23:56:04 +0000 +0000,https://twitter.com/sp90a/status/1637966264726618114
